CustomerID,MonetaryAvg,MonetaryStd,MonetaryMin,MonetaryMax,TotalQuantity,AvgQuantityPerTransaction,MinQuantity,MaxQuantity,FirstPurchaseDaysAgo,PreferredDayOfWeek,PreferredHour,PreferredMonth,WeekendPurchaseRatio,AvgProductsPerTransaction,UniqueCountries,NegativeQuantityCount,ZeroPriceCount,CancelledTransactions,TotalTransactions,Age,LastLoginIP,SupportTicketsCount,SatisfactionScore,RFMSegment,AgeCategory,SpendingCategory,LoyaltyLevel,ChurnRiskCategory,BasketSizeCategory,ProductDiversity,AccountStatus,Country,Churn,RegistrationDate_day,RegistrationDate_month,RegistrationDate_year,Gender_encoded,Region_encoded,FavoriteSeason_encoded,PreferredTimeOfDay_encoded,WeekendPreference_encoded,CustomerType_encoded,MonetaryPerDay,AvgBasketValue,TenureRatio,ProductDiversityPerTrans,ReturnIntensity
16098,29.934776119402983,35.43095185809055,3.75,178.20000000000002,613,9.149253731343284,1,50,374,1,9,9,0.0,4.857142857142857,1,0,0,0,67,36.0,156.96.44.80,3.0,3.0,2,3,3,2,2,1,2,Active,United Kingdom,0,27,12,2010,1,0,0,0,0,0,22.535168539325845,286.5185714285714,0.30662020905923343,4.857142857142857,0.0
18074,37.66153846153846,28.254373952290948,15.8,102.0,190,14.615384615384617,2,48,374,2,9,12,0.0,13.0,1,0,0,0,13,40.0,56.138.151.176,2.0,4.0,1,3,1,0,3,1,1,Active,United Kingdom,1,10,2,2010,-1,0,1,0,0,2,1.3056,489.6,374.0,13.0,0.0
17420,19.961,5.365604603268926,12.48,39.6,265,8.833333333333334,1,24,374,1,15,6,0.0,9.333333333333334,1,0,0,0,30,28.0,180.242.143.55,2.0,5.0,1,2,2,2,1,1,2,Active,United Kingdom,0,17,9,2010,-1,0,3,2,0,0,11.741764705882353,199.61,0.15432098765432098,9.333333333333334,0.0
16029,186.1044160583941,933.7723490590412,-8142.75,8142.75,32148,117.32846715328468,-1296,2400,374,1,11,10,0.0,0.6052631578947368,1,32,0,32,274,49.1499509964064,43.50.6.161,2.0,3.0,3,0,3,2,1,2,2,Active,United Kingdom,0,28,9,2010,-1,0,0,0,0,3,1274.81525,670.9553947368421,0.11607142857142858,0.6052631578947368,8.875912408759122
16250,16.226666666666667,4.731409999113387,5.04,27.0,208,8.666666666666666,2,24,374,2,9,12,0.0,11.0,1,0,0,0,24,49.1499509964064,62.55.167.140,2.0,3.0,1,0,1,1,3,1,2,Active,United Kingdom,1,25,11,2010,0,0,1,0,0,2,1.486412213740458,194.72,2.309734513274336,11.0,0.0
12431,26.73495833333333,50.20159874263217,-38.16,601.44,2868,11.95,-36,336,374,3,14,10,0.125,9.055555555555555,2,4,1,4,240,70.0,116.228.31.74,2.0,1.0,3,6,3,2,1,1,2,Active,Australia,0,12,9,2010,1,2,0,2,1,3,173.41594594594594,356.4661111111111,0.10619469026548672,9.055555555555555,0.2999999999999988
17511,81.90091078066915,87.97828932242282,-179.0,745.0,63012,58.561338289962826,-100,600,374,2,11,12,0.0,10.152173913043478,1,113,0,113,1076,53.0,181.34.169.10,4.0,2.0,3,4,3,3,0,2,2,Active,United Kingdom,0,19,9,2010,1,0,1,0,0,4,22031.345,1915.7691304347827,0.008086253369272238,10.152173913043478,4.830855018587361
17548,-8.32235294117647,21.79515184892381,-41.400000000000006,30.0,-132,-7.764705882352941,-24,24,374,2,10,12,0.0,4.0,1,12,0,12,17,49.1499509964064,52.203.185.78,2.0,4.0,0,0,0,1,3,0,1,Active,United Kingdom,1,28,7,2010,1,0,1,0,0,2,-0.6460273972602739,-47.16,1.3974358974358974,4.0,2.1176470588235294
13705,25.423571428571428,29.77312934874216,7.800000000000001,165.0,363,12.964285714285714,1,32,374,0,9,12,0.0,8.333333333333334,1,0,0,0,28,41.0,3.185.161.135,1.0,5.0,2,3,2,3,0,1,2,Active,United Kingdom,0,24,10,2010,0,0,1,0,0,0,79.09555555555556,237.28666666666666,0.021798365122615803,8.333333333333334,0.0
13747,79.6,0.0,79.6,79.6,8,8.0,8,8,374,2,10,12,0.0,1.0,1,0,0,0,1,49.1499509964064,4.167.48.254,2.0,5.0,0,0,0,0,3,1,0,Active,United Kingdom,1,12,6,2010,-1,0,1,0,0,2,0.21226666666666666,79.6,374.0,1.0,0.0
13408,54.86508982035928,50.54074055098437,-110.43,306.0,16119,32.17365269461078,-48,192,374,2,12,12,0.1816367265469061,2.9135802469135803,1,23,0,23,501,49.1499509964064,74.79.144.166,2.0,5.0,3,0,3,3,0,2,2,Active,United Kingdom,0,22,12,2010,-1,0,1,1,1,4,9162.47,339.3507407407407,0.005376344086021506,2.9135802469135803,3.7185628742514947
13767,42.47045112781954,55.98517467790531,-63.75,532.8000000000001,7258,18.19047619047619,-11,288,374,0,14,12,0.0927318295739348,1.0576923076923077,1,31,0,31,399,70.0,4.4.120.119,2.0,4.0,3,6,3,3,0,2,2,Active,United Kingdom,0,6,2,2010,1,0,1,2,1,4,5648.57,325.87903846153847,0.005376344086021506,1.0576923076923077,4.040100250626565
17924,76.16657894736842,82.68118539129574,-13.95,367.2000000000001,1141,30.026315789473685,-5,120,374,0,10,10,0.0,2.076923076923077,1,7,0,7,38,19.0,228.155.214.214,2.0,1.0,3,1,3,3,0,2,2,Active,United Kingdom,0,1,1,2010,-1,0,0,0,0,4,1447.165,222.64076923076922,0.002680965147453083,2.076923076923077,2.3947368421052624
13448,17.415427135678396,13.9076639976737,-29.75,60.0,1638,8.231155778894472,-12,48,374,1,12,9,0.0,13.7,1,4,0,4,199,49.1499509964064,17.237.226.96,3.0,1.0,3,0,3,2,0,1,2,Active,United Kingdom,0,5,10,2010,0,0,0,1,0,4,192.53722222222225,346.56700000000006,0.04748603351955307,13.7,0.201005025125628
15862,5.665850340136054,6.137081078919305,0.42,40.56,585,3.979591836734694,1,108,374,3,11,12,0.0,35.5,1,0,0,0,147,61.0,244.70.182.97,1.0,1.0,2,5,2,3,0,0,2,Suspended,United Kingdom,0,16,9,2010,1,0,1,0,0,0,92.54222222222222,208.22,0.02185792349726776,35.5,0.0
15513,46.24229299363058,49.33480116740088,-152.64,267.6,5545,17.659235668789808,-144,160,374,3,12,3,0.1687898089171974,8.318181818181818,1,6,0,6,314,47.0,8.114.253.181,3.0,5.0,3,4,3,2,1,2,2,Active,United Kingdom,0,24,7,2010,-1,0,2,1,1,3,453.75250000000005,660.0036363636365,0.09037900874635568,8.318181818181818,0.420382165605094
12791,96.3,114.97556262093264,15.0,177.60000000000002,97,48.5,1,96,374,2,11,12,0.0,2.0,1,0,0,0,2,55.0,228.5.197.47,3.0,2.0,0,5,1,0,3,2,0,Suspended,Netherlands,1,18,10,2010,1,1,1,0,0,2,0.5136,192.6,374.0,2.0,0.0
16218,33.943,28.548470411021825,-13.16,116.0,2077,23.07777777777778,-4,100,374,2,11,12,0.0666666666666666,7.0,1,6,0,6,90,49.1499509964064,202.40.122.135,3.0,3.0,3,0,3,2,0,2,2,Active,United Kingdom,0,7,12,2010,-1,0,1,0,1,3,98.5441935483871,381.85875,0.0872093023255814,7.0,0.5333333333333328
14045,276.625,93.4774397916417,132.0,408.0,535,89.16666666666667,36,147,374,3,8,1,0.0,1.0,1,0,0,0,6,77.0,140.94.153.28,2.0,5.0,2,6,2,2,3,2,0,Suspended,United Kingdom,1,17,1,2010,-1,0,1,0,0,1,15.088636363636363,414.9375,0.41132075471698115,1.0,0.0
14307,16.642888888888887,7.1135332104509565,5.04,50.85,2058,11.433333333333334,1,96,374,2,9,12,0.0,25.0,1,0,0,0,180,38.0,171.77.175.49,3.0,4.0,2,3,3,2,2,1,2,Active,United Kingdom,0,15,11,2010,1,0,1,0,0,0,33.285777777777774,499.28666666666663,0.312280701754386,25.0,0.0
17908,4.194482758620689,3.4974608194957733,0.42,19.05,173,2.9827586206896552,1,28,374,2,11,12,0.0,51.0,1,0,0,0,58,50.0,86.54.18.27,2.0,1.0,0,4,1,0,3,0,2,Active,United Kingdom,1,9,10,2010,-1,0,1,0,0,2,0.6487466666666667,243.28,374.0,51.0,0.0
17920,6.040373563218392,8.370918354927017,0.12,76.5,2516,3.614942528735632,1,288,374,4,14,12,0.2183908045977011,23.94117647058824,1,0,0,0,696,49.1499509964064,72.134.203.221,3.0,3.0,3,0,3,3,0,0,2,Active,United Kingdom,0,22,11,2010,0,0,1,2,1,4,840.82,247.3,0.010810810810810811,23.941176470588236,0.0
12838,5.55390243902439,5.618184123261079,0.42,35.400000000000006,359,2.9186991869918697,1,12,374,6,12,11,0.5203252032520326,57.5,1,0,0,0,123,75.0,122.105.250.69,2.0,1.0,1,6,2,2,1,0,2,Active,United Kingdom,0,21,10,2010,1,0,0,1,2,0,19.518,341.565,0.09970674486803519,57.5,0.0
13255,27.90428571428572,23.04183209672413,-8.850000000000001,90.0,174,12.428571428571429,-3,72,374,2,13,11,0.0,4.333333333333333,1,1,0,1,14,39.0,71.150.187.175,1.0,1.0,2,3,1,3,0,1,1,Active,United Kingdom,0,17,9,2010,1,0,0,1,0,0,78.132,130.22,0.010810810810810811,4.333333333333333,0.2142857142857142
16583,16.675,1.976472187432018,14.85,20.4,111,7.928571428571429,3,12,374,2,12,12,0.0,14.0,1,0,0,0,14,78.0,117.246.196.32,2.0,1.0,0,6,1,0,3,1,1,Active,United Kingdom,1,1,6,2010,1,0,1,1,0,2,0.6225333333333333,233.45,374.0,14.0,0.0
18085,23.791379310344823,17.99679569180063,7.800000000000001,79.2,265,9.137931034482758,3,16,374,3,15,1,0.0,12.5,1,0,0,0,29,61.0,211.109.97.1,2.0,2.0,1,5,2,1,3,1,2,Active,United Kingdom,1,6,3,2010,-1,0,1,2,0,2,2.084441087613293,344.97499999999997,7.5,12.5,0.0
13758,27.26965811965812,22.17251330891097,0.42,102.0,1844,15.760683760683762,1,288,374,6,15,5,0.4786324786324786,14.857142857142858,1,0,0,0,117,49.1499509964064,182.174.169.248,3.0,3.0,3,0,3,2,0,2,2,Active,United Kingdom,0,24,8,2010,1,0,2,2,1,3,245.4269230769231,455.79285714285714,0.03314917127071823,14.857142857142858,0.0
13694,107.09931623931624,105.17001276900676,-420.0,622.5,61803,105.64615384615384,-200,1600,374,3,12,8,0.0119658119658119,6.15,1,17,0,17,585,49.1499509964064,108.114.41.8,3.0,5.0,3,0,3,3,0,2,2,Active,United Kingdom,0,10,8,2010,-1,0,3,1,1,4,12530.619999999999,1044.2183333333332,0.010810810810810811,6.15,1.74358974358974
15983,13.053274336283186,15.413203838782298,0.84,91.8,892,7.893805309734513,1,48,374,3,12,12,0.0,20.5,1,0,0,0,113,44.0,160.30.46.220,3.0,5.0,3,3,2,2,0,1,2,Active,United Kingdom,0,22,1,2010,1,0,1,1,0,0,64.13130434782609,368.755,0.0625,20.5,0.0
14849,20.16397959183673,14.508505979568442,-10.2,175.2,5656,14.428571428571429,-24,144,374,3,11,6,0.0,5.678571428571429,1,4,0,4,392,76.0,105.180.96.217,2.0,4.0,3,6,3,2,0,1,2,Active,United Kingdom,0,3,8,2010,1,0,3,0,0,4,343.664347826087,282.2957142857143,0.0625,5.678571428571429,0.285714285714284
17968,3.2629411764705885,2.852236308720635,0.29,13.52,160,1.8823529411764703,1,8,374,2,12,12,0.0,74.0,1,0,0,0,85,80.0,226.61.225.141,1.0,0.0,0,6,1,0,3,0,2,Active,United Kingdom,1,31,10,2010,-1,0,1,1,0,2,0.7396,277.35,374.0,74.0,0.0
16210,171.43333333333337,452.75777216069145,6.72,3254.4,7559,61.45528455284553,1,960,374,2,12,12,0.0,4.111111111111111,1,0,0,0,123,49.1499509964064,89.234.168.231,2.0,5.0,3,0,3,3,0,2,2,Active,United Kingdom,0,15,12,2010,0,0,1,1,0,4,7028.766666666667,1171.4611111111112,0.005361930294906166,4.111111111111111,0.0
17897,4.705217391304348,8.761843448168955,-25.5,79.9,223,1.9391304347826088,-6,12,374,0,11,12,0.0,25.0,1,1,0,1,115,45.0,126.61.120.172,2.0,3.0,1,4,2,2,3,0,2,Active,United Kingdom,1,11,9,2010,0,0,1,0,0,1,3.109770114942529,135.275,0.8606965174129353,25.0,0.034782608695652
17377,9.369737470167063,16.0671952539341,-175.0,153.0,2075,4.952267303102626,-1,36,374,0,10,11,0.1408114558472553,9.095238095238097,1,1,0,1,419,77.0,241.190.121.172,3.0,5.0,3,6,3,2,0,0,2,Active,United Kingdom,0,22,11,2010,1,0,0,0,1,4,157.0368,186.94857142857143,0.06857142857142857,9.095238095238095,0.0501193317422427
16552,22.33705882352941,18.437844154315428,10.2,91.8,219,12.882352941176473,2,48,374,0,10,4,0.0,8.5,1,0,0,0,17,33.0,48.202.59.185,1.0,2.0,1,2,1,1,3,1,1,Active,United Kingdom,1,31,8,2010,0,0,2,0,0,2,1.5562704918032788,189.865,1.8549618320610688,8.5,0.0
17181,10.431304347826083,21.67213739183182,1.25,79.2,241,10.478260869565217,1,144,374,3,14,10,0.0,11.5,1,0,0,0,23,32.0,223.236.11.25,2.0,3.0,1,2,1,2,1,1,2,Active,United Kingdom,0,18,8,2010,0,0,0,2,0,0,4.136551724137931,119.96,0.17981072555205047,11.5,0.0
17951,47.18285714285715,50.33315379974289,-17.700000000000003,177.60000000000002,610,29.047619047619047,-6,96,374,0,12,10,0.0,4.5,1,1,0,1,21,49.1499509964064,189.46.54.244,1.0,4.0,2,0,2,2,1,2,1,Active,United Kingdom,0,4,11,2010,-1,0,0,1,0,0,24.16682926829269,247.7100000000001,0.11976047904191617,4.5,0.1904761904761904
14729,4.415352112676057,3.77889206400346,0.65,19.8,197,2.7746478873239435,1,16,374,2,12,12,0.0,69.0,1,0,0,0,71,79.0,237.34.251.84,3.0,3.0,1,6,1,0,3,0,2,Active,United Kingdom,1,19,3,2010,1,0,1,1,0,2,0.8359733333333335,313.49000000000007,374.0,69.0,0.0
12748,6.262839293408013,38.3936798721033,-1829.84,850.5,24210,5.2154243860405,-244,576,374,2,11,11,0.1544592847910383,7.897321428571429,1,46,1,46,4642,49.1499509964064,135.225.62.57,1.0,3.0,3,0,3,3,0,1,2,Active,United Kingdom,0,17,7,2010,1,0,0,0,1,4,14536.05,129.7861607142857,0.002680965147453083,7.897321428571429,2.2197328737612896
15012,3.305,2.477535923446622,0.39,12.75,231,1.8046875,1,12,374,0,12,10,0.0,55.0,1,0,0,0,128,79.0,227.253.93.116,1.0,3.0,1,6,1,2,1,0,2,Active,United Kingdom,0,27,8,2010,-1,0,0,1,0,0,7.691636363636364,211.52,0.16875,55.0,0.0
12868,15.0192523364486,5.904255373135322,3.12,31.6,928,8.672897196261681,1,24,374,2,15,1,0.0,12.0,1,0,0,0,107,49.1499509964064,76.133.76.221,6.0,0.0,2,0,2,2,3,1,2,Active,United Kingdom,1,17,10,2010,1,0,1,2,0,2,8.59390374331551,267.84333333333336,0.9893617021276596,12.0,0.0
17572,18.89583333333333,3.697939127119155,13.05,26.1,95,7.916666666666667,2,18,373,2,12,4,0.0,1.75,1,0,0,0,12,61.0,163.212.37.188,2.0,1.0,1,5,1,2,2,1,1,Pending,United Kingdom,0,9,9,2010,-1,0,2,1,0,0,3.1493055555555554,56.6875,0.23432343234323433,1.75,0.0
14078,16.144153846153845,32.05769383530982,0.83,158.75,310,4.769230769230769,1,25,373,2,12,6,0.0,7.666666666666667,1,0,0,0,65,72.0,193.144.30.201,1.0,2.0,2,6,2,2,3,0,2,Active,United Kingdom,1,3,12,2010,0,0,3,1,0,1,10.188058252427183,174.89499999999998,0.375,7.666666666666667,0.0
14001,50.75825,53.16003761683278,-12.75,179.0,959,23.975,-3,100,373,1,9,4,0.0,8.75,1,1,0,1,40,69.0,42.61.202.205,2.0,3.0,2,6,3,2,1,2,2,Active,United Kingdom,0,27,11,2010,1,0,2,0,0,0,43.19851063829787,507.5825,0.1402439024390244,8.75,0.1
12662,16.45293103448276,7.674131620825337,-17.4,41.6,2040,8.793103448275861,-12,60,373,1,13,6,0.1336206896551724,10.75,1,2,0,2,232,49.1499509964064,48.190.84.93,2.0,3.0,3,0,3,3,0,1,2,Active,Germany,0,21,6,2010,-1,1,3,1,1,4,1908.54,318.09,0.002680965147453083,10.75,0.1034482758620688
15525,4.5056666666666665,4.749451259100343,-8.95,29.85,414,2.3,-1,24,373,2,14,12,0.0,33.25,1,2,0,2,180,49.1499509964064,192.185.68.46,0.0,5.0,2,0,2,3,0,0,2,Active,United Kingdom,0,15,5,2010,1,0,1,2,0,0,270.34,202.755,0.005376344086021506,33.25,0.0444444444444444
14237,17.888888888888893,6.67845312262586,10.2,33.9,38,4.222222222222222,1,12,373,2,13,12,0.0,9.0,1,0,0,0,9,54.0,113.28.229.77,3.0,2.0,0,4,1,0,3,0,1,Active,United Kingdom,1,23,7,2010,-1,0,1,1,0,2,0.43048128342245995,161.00000000000003,373.0,9.0,0.0
17905,23.536470588235293,42.11564107940673,1.25,181.25,407,11.970588235294118,1,125,373,2,13,12,0.0,8.25,1,0,0,0,34,68.0,121.3.37.176,2.0,2.0,2,6,2,2,2,1,2,Active,United Kingdom,0,29,4,2010,1,0,1,1,0,0,11.114444444444445,200.06,0.23432343234323433,8.25,0.0
15485,29.94186046511628,30.769113371600728,1.25,204.0,1306,15.186046511627907,1,80,373,2,14,11,0.0,19.666666666666668,1,0,0,0,86,49.1499509964064,147.92.83.17,4.0,4.0,2,0,3,2,0,2,2,Active,United Kingdom,0,12,12,2010,0,0,0,2,0,0,83.06451612903226,858.3333333333334,0.0872093023255814,19.666666666666668,0.0
12433,31.847309523809525,27.0369316523465,2.88,203.52,11071,26.35952380952381,2,240,373,2,13,12,0.0,31.285714285714285,1,0,0,0,420,38.0,210.210.121.87,3.0,2.0,3,3,3,3,0,2,2,Active,Norway,0,20,7,2010,1,3,1,1,0,3,6687.935,1910.8385714285716,0.002680965147453083,31.285714285714285,0.0
16955,18.98730769230769,13.03412031790172,-25.0,50.85,246,9.461538461538462,-20,48,373,2,10,6,0.0,3.6,1,1,0,1,26,26.0,40.178.73.29,3.0,2.0,1,2,1,2,3,1,1,Closed,United Kingdom,1,25,9,2010,1,0,3,0,0,2,2.6541397849462367,98.73400000000001,0.9788359788359788,3.6,0.192307692307692
15350,23.130000000000003,4.628660713424566,14.85,25.200000000000003,51,10.2,3,12,373,2,13,12,0.0,5.0,1,0,0,0,5,49.1499509964064,179.42.29.66,1.0,3.0,0,0,1,0,3,1,1,Pending,United Kingdom,1,6,10,2010,-1,0,1,1,0,2,0.3092245989304813,115.65,373.0,5.0,0.0
15605,17.88402985074627,5.997743024924862,10.08,50.400000000000006,441,6.582089552238806,1,24,373,4,13,4,0.1641791044776119,12.2,1,0,0,0,67,35.0,124.145.249.120,1.0,1.0,2,3,2,2,1,1,2,Active,United Kingdom,0,13,7,2010,0,0,2,1,1,3,32.384594594594596,239.64600000000002,0.10650887573964497,12.2,0.0
18144,67.18023255813955,69.31763942647582,7.5,232.0,1343,31.232558139534884,1,160,373,1,13,4,0.0,2.25,1,0,0,0,43,21.0,109.159.92.235,5.0,0.0,3,1,3,3,0,2,2,Active,United Kingdom,0,22,4,2010,-1,0,2,1,0,4,320.9722222222223,240.7291666666667,0.02185792349726776,2.25,0.0
15922,30.300000000000008,19.81780650186732,-5.9,75.60000000000001,136,11.333333333333334,-2,36,373,2,13,12,0.0,5.5,1,1,0,1,12,42.0,112.52.167.60,1.0,5.0,1,3,1,0,3,1,1,Suspended,United Kingdom,1,26,10,2010,-1,0,1,1,0,2,0.9747989276139413,181.80000000000004,372.0,5.5,0.1666666666666666
14594,7.166603773584904,4.222276520203575,0.85,17.0,185,3.490566037735849,1,12,373,2,13,12,0.0,24.0,1,0,0,0,53,49.1499509964064,94.227.240.179,1.0,0.0,2,0,1,3,0,0,2,Active,United Kingdom,0,17,9,2010,0,0,1,1,0,0,47.47874999999999,189.91499999999996,0.01912568306010929,24.0,0.0
15165,18.064814814814813,4.12512971392357,10.5,26.1,160,5.925925925925926,1,18,373,2,14,12,0.0,27.0,1,0,0,0,27,49.1499509964064,212.144.98.14,3.0,1.0,1,0,1,0,3,1,2,Pending,United Kingdom,1,3,9,2010,1,0,1,2,0,2,1.304144385026738,487.75,373.0,27.0,0.0
14911,22.45851600880908,56.724447630901416,-1687.17,1687.17,77180,13.074707775707267,-288,640,373,3,14,11,0.0701338302558021,7.233870967741935,1,226,2,226,5903,67.0,218.212.170.51,2.0,0.0,3,6,3,3,0,1,2,Active,EIRE,0,18,4,2010,-1,4,0,2,1,4,66286.31,534.5670161290323,0.002680965147453083,7.233870967741935,9.494833135693703
16456,19.44477477477478,22.178149805888875,0.19,104.0,1148,10.342342342342342,1,50,373,6,11,2,0.5405405405405406,16.0,1,0,0,0,111,75.0,24.107.210.171,6.0,4.0,2,6,3,2,3,1,2,Active,United Kingdom,1,31,8,2010,-1,0,1,0,2,1,21.583700000000004,431.6740000000001,0.3613138686131387,16.0,0.0
17841,5.053335838657146,9.97603541966394,-39.95,349.5,22865,2.864211449329826,-10,288,373,2,12,11,0.1440561192534135,7.875739644970414,1,136,0,136,7983,49.1499509964064,73.147.84.61,1.0,5.0,3,0,3,3,0,0,2,Active,United Kingdom,0,16,11,2010,1,0,0,1,1,4,13446.926666666666,238.70284023668637,0.005376344086021506,7.875739644970414,2.8791181260177816
12472,15.932173913043478,17.09982888294754,-25.5,126.0,4020,10.281329923273658,-9,48,373,2,14,12,0.289002557544757,17.384615384615383,1,52,0,52,391,43.0,106.94.63.154,4.0,5.0,3,3,3,2,1,1,2,Active,Germany,0,3,11,2010,1,1,1,2,1,3,194.67125,479.1907692307692,0.09037900874635568,17.384615384615383,1.728900255754476
17346,5.192007952286282,6.33036259479739,-29.85,45.760000000000005,1639,3.2584493041749503,-12,36,373,3,12,10,0.1630218687872763,18.6875,1,3,0,3,503,70.0,255.95.35.67,1.0,5.0,3,6,3,3,0,0,2,Active,United Kingdom,0,14,11,2010,1,0,0,1,1,4,522.316,163.22375,0.010810810810810811,18.6875,0.0954274353876736
17643,12.69375,2.691579130229264,10.2,15.9,71,8.875,1,24,373,2,14,12,0.0,8.0,1,0,0,0,8,19.0,56.40.253.157,2.0,3.0,0,1,1,0,3,1,1,Active,United Kingdom,1,27,12,2010,-1,0,1,2,0,2,0.271524064171123,101.55,373.0,8.0,0.0
17873,38.35565217391305,34.974554347231354,-50.400000000000006,129.38,999,21.717391304347824,-24,48,373,2,14,3,0.0,4.0,1,2,0,2,46,49.1499509964064,134.180.129.180,1.0,1.0,2,0,2,2,2,2,2,Active,United Kingdom,0,30,11,2010,0,0,2,2,0,0,21.782222222222227,294.06000000000006,0.272108843537415,4.0,0.26086956521739124
13093,45.53805882352941,49.04616622788497,-19.8,272.0,3943,23.194117647058825,-4,108,373,3,15,1,0.0,7.615384615384615,1,11,0,11,170,49.1499509964064,24.102.162.115,4.0,1.0,2,0,3,1,3,2,2,Active,United Kingdom,1,21,8,2010,-1,0,1,2,0,2,28.88608208955224,595.4976923076923,2.4953271028037385,7.615384615384615,0.8411764705882343
12921,22.118407557354928,16.654215419661274,-20.8,178.20000000000002,9454,12.758434547908232,-12,96,373,2,13,11,0.0553306342780027,4.66,1,21,0,21,741,64.0,252.135.75.11,0.0,2.0,3,5,3,3,0,1,2,Active,United Kingdom,0,27,11,2010,0,0,0,1,1,4,3277.9480000000003,327.7948,0.010810810810810811,4.66,1.417004048582995
